증권종류,회사명,종목코드,업종,주요제품,상장일,결산일,대표자명,홈페이지,지역
유가증권,명인제약,317450,의약품 제조업,의약품 제조업,2025-10-01,12월,이행명,http://www.myunginph.co.kr,경기도
코스닥,KB제33호스팩,0072Z0,금융 지원 서비스업,금융 지원 서비스업,2025-09-30,12월,박성원,없음,서울특별시
코스닥,삼성스팩11호,0071M0,금융 지원 서비스업,금융 지원 서비스업,2025-09-30,12월,문소연,없음,서울특별시
코스닥,에스투더블유,488280,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2025-09-19,12월,서상덕,없음,경기도
코스닥,오아,342870,가전제품 및 정보통신장비 소매업,가전제품 및 정보통신장비 소매업,2025-09-09,12월,김상무,없음,서울특별시
코넥스,본시스템즈,496320,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2025-09-08,12월,김창현,없음,경상남도
코스닥,그래피,318060,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,2025-08-25,12월,심운섭,없음,서울특별시
코스닥,애드포러스,397810,광고업,광고업,2025-08-22,12월,이은현,없음,서울특별시
코스닥,삼성스팩10호,0044K0,금융 지원 서비스업,금융 지원 서비스업,2025-08-21,12월,남궁혁,없음,서울특별시
코스닥,제이피아이헬스케어,0010V0,의료용 기기 제조업,의료용 기기 제조업,2025-08-21,12월,김진국,없음,서울특별시
코스닥,한라캐스트,125490,자동차 신품 부품 제조업,자동차 신품 부품 제조업,2025-08-20,12월,오종두,없음,인천광역시
코스닥,에스엔시스,0008Z0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2025-08-19,12월,배재혁,없음,경기도
코스닥,삼양컴텍,484590,무기 및 총포탄 제조업,무기 및 총포탄 제조업,2025-08-18,12월,김종일,없음,서울특별시
코스닥,교보18호스팩,0041B0,금융 지원 서비스업,금융 지원 서비스업,2025-08-14,12월,허명현,없음,서울특별시
코스닥,지투지바이오,456160,의약품 제조업,의약품 제조업,2025-08-14,12월,이희용,없음,충청북도
코스닥,아이티켐,309710,기초 의약물질 제조업,기초 의약물질 제조업,2025-08-07,12월,김인규,없음,충청북도
코스닥,하나35호스팩,0041L0,금융 지원 서비스업,금융 지원 서비스업,2025-08-06,12월,박정수,없음,서울특별시
유가증권,대한조선,439260,선박 및 보트 건조업,선박 및 보트 건조업,2025-08-01,12월,왕삼동..,없음,전라남도
코스닥,프로티나,468530,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2025-07-29,12월,윤태영,없음,서울특별시
코스닥,엔알비,475230,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,2025-07-28,12월,강건우,없음,전북특별자치도
코스닥,뉴로핏,380550,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2025-07-25,12월,빈준길..,없음,서울특별시
코스닥,도우인시스,484120,전자부품 제조업,전자부품 제조업,2025-07-23,12월,옥경석,없음,충청북도
코스닥,디비금융제14호스팩,0004Y0,기타 금융업,기타 금융업,2025-07-22,12월,황선국,없음,서울특별시
코스닥,엘에스스팩1호,0041J0,금융 지원 서비스업,금융 지원 서비스업,2025-07-22,12월,이정국,없음,서울특별시
코스닥,아우토크립트,331740,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2025-07-15,12월,이석우,없음,서울특별시
유가증권,대신밸류리츠,0030R0,신탁업 및 집합투자업,신탁업 및 집합투자업,2025-07-10,08월,김광진,없음,서울특별시
코스닥,뉴키즈온,462310,봉제의복 제조업,봉제의복 제조업,2025-07-09,12월,주춘섭,없음,서울특별시
코스닥,싸이닉솔루션,234030,반도체 제조업,반도체 제조업,2025-07-07,12월,이현,없음,경기도
코스닥,KB제32호스팩,0037T0,금융 지원 서비스업,금융 지원 서비스업,2025-07-04,12월,김세준,없음,서울특별시
코스닥,뉴엔AI,463020,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,2025-07-04,12월,배성환,없음,경기도
