리뷰일,앱 이름,별점,사용자 리뷰,회사 응답
2025-10-27,하나,1.0,진짜 이렇게 조잡한 은행 어플은 처음이네 이체 실패한 메시지가 팝업되면 입력하던 화면 위로 안나오고 뒤로 쳐나와서 뭔 내용인지 보지도 못하게하냐. 진짜 파일 배치를 어떻게 해놨길래 ㅡㅡ 걍 하나은행 안쓰기로함,회사응답 없음
2025-10-27,하나,1.0,별하나도 아깝네요 간편인증에서 넘어가지 않고 클릭도 안되고 먹통이 됩니다 대대적인 수정이 필요해 보입니다 더는 너무 불편해서 앱을 사용하긴 어려울것 같네요 실망입니다,회사응답 없음
2025-10-27,하나,1.0,임의 개조 OS 어쩌고로 접속 막는거 최신버전에서도 개선 전혀 안됐는데 열심히 복사붙여넣기 하느라 고생이 많으십니다,회사응답 없음
2025-10-27,하나,5.0,사용할때마다 편리하고 안전하다고 생각됩니다,회사응답 없음
2025-10-27,하나,4.0,불편,회사응답 없음
2025-10-27,하나,1.0,하나은행은 왜 계좌이체도 안 돼요!,회사응답 없음
2025-10-27,하나,1.0,버그버그 내계좌이체시 무한로딩입니다. 오류코드 BEBK99999,회사응답 없음
2025-10-26,하나,1.0,잘 쓰고 있었는데 이번달부터 갑자기 개조된 OS에서 사용이 불가하다고 강제 종료 됩니다 다른 은행 앱은 전부 문제없는데 하나원큐만 그러네요,회사응답 없음
2025-10-24,하나,1.0,예수금 빼려고 보니까 그냥은 또 안빠지고 계좌 밀어야 된데서 계좌 해지 찾아보니 밀리지도 않고 회외 주식이고 국내주식이고 한번 투자했다가 매도한 금액들은 절대 안빠지고 냅두는게 이게 맞나요? 투자를 했으면 뺄 수도 있게 해주셔야지 뭔 사행성 도박도 아니고 돈을 끊임없이 퍼부어야되나요 빼지도 못하는거,회사응답 없음
2025-10-24,하나,1.0,앱이 왜 안열리져 다른통장에서 이체를해서 볼려고해도볼수가없네여 출근 교통비 써야되는데 앱열리게해줘야 이체가되져 통장 이나카드가없고 앱으로만 움직이게되있어서,회사응답 없음
2025-10-24,하나,1.0,갤럭시 s24 울트라 순정 os 씁니다. 얼마전부터 접속하려고 할 때마다 개조된 os에서는 안열린다며 앱 메인화면에 들어갈 수 없어요,회사응답 없음
2025-10-23,하나,1.0,로그인 인증이 안되어서 삭제후 재설치 했더니 아예 안되네요,회사응답 없음
2025-10-22,하나,4.0,"입출금알림 요즘 너무너무너무늦게와요 실시간 알림아니면 무슨 의미죠..,",회사응답 없음
2025-10-22,하나,5.0,"삼성 a 시리즈 사용중인데, 루팅 하지도 않았는데 루팅폰이라고 쟈꾸 뜹니다.","안녕하세요. 하나은행입니다. 이용 중 불편을 드려 죄송합니다. 현재 해당 현상은 최신 버전(2.68)에서 개선되었으니, 앱을 업데이트 하신 후 다시 이용해 주시기 바랍니다. 감사합니다.
"
2025-10-22,하나,1.0,one ui 8.0 업데이트 이후 정상적인 OS 에서만 사용가능하다는 알림창 뜨면서 앱이용을 못합니다. 오류 개선 부탁드립니다.,회사응답 없음
2025-10-22,하나,1.0,OS개조한적 없는데 루팅폰이라고 자꾸 떠서 삭제했다 재설치해야했음. 당연히 최신버전 업뎃하고생긴 이슈임. 업데이트 한번 하면 앱을 재설치해야한다? 사용성 무슨일임?,"안녕하세요. 하나은행입니다. 이용 중 불편을 드려 죄송합니다. 현재 해당 현상은 최신 버전(2.68)에서 개선되었으니, 앱을 업데이트 하신 후 다시 이용해 주시기 바랍니다. 감사합니다.
"
2025-10-21,하나,1.0,인증을 도대체 몇번이나 시키는거며 매끄럽게 진행되는게 없네요 최악입니다,"안녕하세요. 하나은행입니다. 우선 이용에 불편을 드려 죄송합니다. 앱리뷰로는 정확한 내용을 파악 할 수 없어 하나은행 고객센터(1599-1111)로 문의주시면 도움드리겠습니다. 감사합니다.
"
2025-10-21,하나,1.0,왜 안될까요? 첫 화면에서 계속 돌기만하네요~안되서 또 지워서 낄아도안되네요~다른 금융앱들은 잘만되는데..,"안녕하세요. 하나은행입니다. 서비스 이용에 불편을 드려 죄송합니다. 계속적으로 동일한 현상이 발생하시면 아래 순서(1~3)로 확인을 부탁드립니다. 1. 하나원큐 앱 종료 후 2~3번 재접속(최신화된 보안패턴 다운로드) 2. Wifi로 접속한 경우 Wifi를 off로 변경 후 모바일 데이터로 접속 3. 그래도 안될 경우 앱 삭제 후 재설치
"
2025-10-20,하나,1.0,"계좌개설을 하려던 중 신분증 확인 전 단계에서 실명과 일치하지 않는다며 초기화 됨. 몇번 시도해도 똑같습니다. 현재 농협, 우리 은행앱 사용 중이고 별도 금융계좌가 필요해서 개설하려 했던건데..신한은행은 잘 되서 개설했습니다. 앱 담당자분은 좀 반성하셔야 할 것 같아요.","안녕하세요. 하나은행입니다. 우선 이용에 불편을 드려 죄송합니다. 앱리뷰로는 정확한 내용을 파악 할 수 없어 하나은행 고객센터(1599-1111)로 문의주시면 도움드리겠습니다. 감사합니다.
"
2025-10-20,하나,1.0,뭘 맨날 다운로드 받냐 적당히 좀 해라 와이파이 없는곳에서 급하게 이체해야 하는데 사람 돌게 만듦 한두번이 아님,"안녕하세요. 하나은행입니다. 갤럭시 앱 자동업데이트 설정을 끄거나 Wi-Fi만 허용으로 변경하면 자동으로 업데이트 되지 않습니다. 감사합니다.
"
